passenger_id,pclass,survived,name,sex,age,ticket,fare,embarked
0,1,1,Allen. Miss. Elisabeth Walton,1,29.0,24160,211.3375,0
1,1,1,Allison. Master. Hudson Trevor,0,0.9167,113781,151.55,0
2,1,0,Allison. Miss. Helen Loraine,1,2.0,113781,151.55,0
3,1,0,Allison. Mr. Hudson Joshua Creighton,0,30.0,113781,151.55,0
4,1,0,Allison. Mrs. Hudson J C (Bessie Waldo Daniels),1,25.0,113781,151.55,0
5,1,1,Anderson. Mr. Harry,0,48.0,19952,26.55,0
6,1,1,Andrews. Miss. Kornelia Theodosia,1,63.0,13502,77.9583,0
7,1,0,Andrews. Mr. Thomas Jr,0,39.0,112050,0.0,0
8,1,1,Appleton. Mrs. Edward Dale (Charlotte Lamson),1,53.0,11769,51.4792,0
9,1,0,Artagaveytia. Mr. Ramon,0,71.0,PC 17609,49.5042,1
10,1,0,Astor. Col. John Jacob,0,47.0,PC 17757,227.525,1
11,1,1,Astor. Mrs. John Jacob (Madeleine Talmadge Force),1,18.0,PC 17757,227.525,1
12,1,1,Aubart. Mme. Leontine Pauline,1,24.0,PC 17477,69.3,1
13,1,1,"Barber. Miss. Ellen ""Nellie""",1,26.0,19877,78.85,0
14,1,1,Barkworth. Mr. Algernon Henry Wilson,0,80.0,27042,30.0,0
15,1,0,Baumann. Mr. John D,0,29.8811345124283,PC 17318,25.925,0
16,1,0,Baxter. Mr. Quigg Edmond,0,24.0,PC 17558,247.5208,1
17,1,1,Baxter. Mrs. James (Helene DeLaudeniere Chaput),1,50.0,PC 17558,247.5208,1
18,1,1,Bazzani. Miss. Albina,1,32.0,11813,76.2917,1
19,1,0,Beattie. Mr. Thomson,0,36.0,13050,75.2417,1
20,1,1,Beckwith. Mr. Richard Leonard,0,37.0,11751,52.5542,0
21,1,1,Beckwith. Mrs. Richard Leonard (Sallie Monypeny),1,47.0,11751,52.5542,0
22,1,1,Behr. Mr. Karl Howell,0,26.0,111369,30.0,1
23,1,1,Bidois. Miss. Rosalie,1,42.0,PC 17757,227.525,1
24,1,1,Bird. Miss. Ellen,1,29.0,PC 17483,221.7792,0
25,1,0,Birnbaum. Mr. Jakob,0,25.0,13905,26.0,1
26,1,1,Bishop. Mr. Dickinson H,0,25.0,11967,91.0792,1
27,1,1,Bishop. Mrs. Dickinson H (Helen Walton),1,19.0,11967,91.0792,1
28,1,1,Bissette. Miss. Amelia,1,35.0,PC 17760,135.6333,0
29,1,1,Bjornstrom-Steffansson. Mr. Mauritz Hakan,0,28.0,110564,26.55,0
30,1,0,Blackwell. Mr. Stephen Weart,0,45.0,113784,35.5,0
31,1,1,Blank. Mr. Henry,0,40.0,112277,31.0,1
32,1,1,Bonnell. Miss. Caroline,1,30.0,36928,164.8667,0
33,1,1,Bonnell. Miss. Elizabeth,1,58.0,113783,26.55,0
34,1,0,Borebank. Mr. John James,0,42.0,110489,26.55,0
35,1,1,Bowen. Miss. Grace Scott,1,45.0,PC 17608,262.375,1
36,1,1,Bowerman. Miss. Elsie Edith,1,22.0,113505,55.0,0
37,1,1,"Bradley. Mr. George (""George Arthur Brayton"")",0,29.8811345124283,111427,26.55,0
38,1,0,Brady. Mr. John Bertram,0,41.0,113054,30.5,0
39,1,0,Brandeis. Mr. Emil,0,48.0,PC 17591,50.4958,1
40,1,0,Brewe. Dr. Arthur Jackson,0,29.8811345124283,112379,39.6,1
41,1,1,Brown. Mrs. James Joseph (Margaret Tobin),1,44.0,PC 17610,27.7208,1
